0000 - *CLS           *CLS       :*CLS
01EC - INVert         INV        :CALCulate:SUB:INVert
01ED - INVert?        INV?       :CALCulate:SUB:INVert?
01EE - VSCale         VSC        :CALCulate:SUB:VSCale
01EF - VSCale?        VSC?       :CALCulate:SUB:VSCale?
01F0 - VOFFset        VOFF       :CALCulate:SUB:VOFFset
01F1 - VOFFset?       VOFF?      :CALCulate:SUB:VOFFset?
01F2 - SA             SA         :CALCulate:MULTiply:SA
01F3 - SA?            SA?        :CALCulate:MULTiply:SA?
01F4 - SB             SB         :CALCulate:MULTiply:SB
01F5 - SB?            SB?        :CALCulate:MULTiply:SB?
01F6 - INVert         INV        :CALCulate:MULTiply:INVert
01F7 - INVert?        INV?       :CALCulate:MULTiply:INVert?
01F8 - VSCale         VSC        :CALCulate:MULTiply:VSCale
01F9 - VSCale?        VSC?       :CALCulate:MULTiply:VSCale?
01FA - VOFFset        VOFF       :CALCulate:MULTiply:VOFFset
01FB - VOFFset?       VOFF?      :CALCulate:MULTiply:VOFFset?
01FC - SA             SA         :CALCulate:DIVision:SA
01FD - SA?            SA?        :CALCulate:DIVision:SA?
01FE - SB             SB         :CALCulate:DIVision:SB
01FF - SB?            SB?        :CALCulate:DIVision:SB?
0200 - INVert         INV        :CALCulate:DIVision:INVert
0201 - INVert?        INV?       :CALCulate:DIVision:INVert?
0202 - VSCale         VSC        :CALCulate:DIVision:VSCale
0203 - VSCale?        VSC?       :CALCulate:DIVision:VSCale?
0204 - VOFFset        VOFF       :CALCulate:DIVision:VOFFset
0205 - VOFFset?       VOFF?      :CALCulate:DIVision:VOFFset?
0206 - SOURce         SOUR       :CALCulate:FFT:SOURce
0207 - SOURce?        SOUR?      :CALCulate:FFT:SOURce?
0208 - WINDow         WIND       :CALCulate:FFT:WINDow
0209 - WINDow?        WIND?      :CALCulate:FFT:WINDow?
020A - SPLit          SPL        :CALCulate:FFT:SPLit
020B - SPLit?         SPL?       :CALCulate:FFT:SPLit?
020C - VSMode         VSM        :CALCulate:FFT:VSMode
020D - VSMode?        VSM?       :CALCulate:FFT:VSMode?
020E - VSCale         VSC        :CALCulate:FFT:VSCale
020F - VSCale?        VSC?       :CALCulate:FFT:VSCale?
0210 - VOFFset        VOFF       :CALCulate:FFT:VOFFset
0211 - VOFFset?       VOFF?      :CALCulate:FFT:VOFFset?
0212 - HSCale         HSC        :CALCulate:FFT:HSCale
0213 - HSCale?        HSC?       :CALCulate:FFT:HSCale?
0214 - HCENter        HCEN       :CALCulate:FFT:HCENter
0215 - HCENter?       HCEN?      :CALCulate:FFT:HCENter?
0216 - HSPan          HSP        :CALCulate:FFT:HSPan
0217 - HSPan?         HSP?       :CALCulate:FFT:HSPan?
0218 - HOFFset        HOFF       :CALCulate:FFT:HOFFset
0219 - HOFFset?       HOFF?      :CALCulate:FFT:HOFFset?
021A - SA             SA         :CALCulate:LOGic:SA
021B - SA?            SA?        :CALCulate:LOGic:SA?
021C - SB             SB         :CALCulate:LOGic:SB
021D - SB?            SB?        :CALCulate:LOGic:SB?
021E - INVert         INV        :CALCulate:LOGic:INVert
021F - INVert?        INV?       :CALCulate:LOGic:INVert?
0220 - VSCale         VSC        :CALCulate:LOGic:VSCale
0221 - VSCale?        VSC?       :CALCulate:LOGic:VSCale?
0222 - VOFFset        VOFF       :CALCulate:LOGic:VOFFset
0223 - VOFFset?       VOFF?      :CALCulate:LOGic:VOFFset?
0224 - OPERator       OPER       :CALCulate:LOGic:OPERator
0225 - OPERator?      OPER?      :CALCulate:LOGic:OPERator?
0226 - ATHReshold     ATHR       :CALCulate:LOGic:ATHReshold
0227 - ATHReshold?    ATHR?      :CALCulate:LOGic:ATHReshold?
0228 - BTHReshold     BTHR       :CALCulate:LOGic:BTHReshold
0229 - BTHReshold?    BTHR?      :CALCulate:LOGic:BTHReshold?
022A - DATA?          DATA?      :WAVeform:DATA?
022B - FORMat         FORM       :WAVeform:FORMat
022C - FORMat?        FORM?      :WAVeform:FORMat?
022D - MODE           MODE       :WAVeform:MODE
022E - MODE?          MODE?      :WAVeform:MODE?
022F - PREamble?      PRE?       :WAVeform:PREamble?
0230 - SOURce         SOUR       :WAVeform:SOURce
0231 - SOURce?        SOUR?      :WAVeform:SOURce?
0232 - XINCrement?    XINC?      :WAVeform:XINCrement?
0233 - XORigin?       XOR?       :WAVeform:XORigin?
0234 - XREFerence?    XREF?      :WAVeform:XREFerence?
0235 - YINCrement?    YINC?      :WAVeform:YINCrement?
0236 - YORigin?       YOR?       :WAVeform:YORigin?
0237 - YREFerence?    YREF?      :WAVeform:YREFerence?
0238 - STARt          STAR       :WAVeform:STARt
0239 - STARt?         STAR?      :WAVeform:STARt?
023A - STOP           STOP       :WAVeform:STOP
023B - STOP?          STOP?      :WAVeform:STOP?
023C - RLENgth?       RLEN?      :WAVeform:RLENgth?
023D - FLENgth?       FLEN?      :WAVeform:FLENgth?
023E - POINts         POIN       :WAVeform:POINts
023F - POINts?        POIN?      :WAVeform:POINts?
0240 - COUPling       COUP       :TRIGger:COUPling
0241 - COUPling?      COUP?      :TRIGger:COUPling?
0242 - SWEep          SWE        :TRIGger:SWEep
0243 - SWEep?         SWE?       :TRIGger:SWEep?
0244 - NREJect        NREJ       :TRIGger:NREJect
0245 - NREJect?       NREJ?      :TRIGger:NREJect?
0246 - MODE           MODE       :TRIGger:MODE
0247 - MODE?          MODE?      :TRIGger:MODE?
0248 - HOLDoff        HOLD       :TRIGger:HOLDoff
0249 - HOLDoff?       HOLD?      :TRIGger:HOLDoff?
024A - STATus?        STAT?      :TRIGger:STATus?
024B - LEVel          LEV        :TRIGger:LEVel
024C - LEVel?         LEV?       :TRIGger:LEVel?
024D - SOURce         SOUR       :TRIGger:EDGe:SOURce
024E - SOURce?        SOUR?      :TRIGger:EDGe:SOURce?
024F - SLOPe          SLOP       :TRIGger:EDGe:SLOPe
0250 - SLOPe?         SLOP?      :TRIGger:EDGe:SLOPe?
0251 - LEVel          LEV        :TRIGger:EDGe:LEVel
0252 - LEVel?         LEV?       :TRIGger:EDGe:LEVel?
0253 - COUPling       COUP       :TRIGger:EDGe:COUPling
0254 - COUPling?      COUP?      :TRIGger:EDGe:COUPling?
0255 - SWEep          SWE        :TRIGger:EDGe:SWEep
0256 - SWEep?         SWE?       :TRIGger:EDGe:SWEep?
0257 - MODE           MODE       :TRIGger:EDGe:MODE
0258 - MODE?          MODE?      :TRIGger:EDGe:MODE?
0259 - HOLDoff        HOLD       :TRIGger:EDGe:HOLDoff
025A - HOLDoff?       HOLD?      :TRIGger:EDGe:HOLDoff?
025B - ALEVel         ALEV       :TRIGger:SLOPe:ALEVel
025C - ALEVel?        ALEV?      :TRIGger:SLOPe:ALEVel?
025D - BLEVel         BLEV       :TRIGger:SLOPe:BLEVel
025E - BLEVel?        BLEV?      :TRIGger:SLOPe:BLEVel?
025F - TUPPer         TUPP       :TRIGger:SLOPe:TUPPer
0260 - TUPPer?        TUPP?      :TRIGger:SLOPe:TUPPer?
0261 - TLOWer         TLOW       :TRIGger:SLOPe:TLOWer
0262 - TLOWer?        TLOW?      :TRIGger:SLOPe:TLOWer?
0263 - TIME           TIME       :TRIGger:SLOPe:TIME
0264 - TIME?          TIME?      :TRIGger:SLOPe:TIME?
0265 - WHEN           WHEN       :TRIGger:SLOPe:WHEN
0266 - WHEN?          WHEN?      :TRIGger:SLOPe:WHEN?
0267 - WINDow         WIND       :TRIGger:SLOPe:WINDow
0268 - WINDow?        WIND?      :TRIGger:SLOPe:WINDow?
0269 - SOURce         SOUR       :TRIGger:SLOPe:SOURce
026A - SOURce?        SOUR?      :TRIGger:SLOPe:SOURce?
026B - LEVel          LEV        :TRIGger:PULSe:LEVel
026C - LEVel?         LEV?       :TRIGger:PULSe:LEVel?
026D - SOURce         SOUR       :TRIGger:PULSe:SOURce
026E - SOURce?        SOUR?      :TRIGger:PULSe:SOURce?
026F - WHEN           WHEN       :TRIGger:PULSe:WHEN
0270 - WHEN?          WHEN?      :TRIGger:PULSe:WHEN?
0271 - WIDTh          WIDT       :TRIGger:PULSe:WIDTh
0272 - WIDTh?         WIDT?      :TRIGger:PULSe:WIDTh?
0273 - UWIDth         UWID       :TRIGger:PULSe:UWIDth
0274 - UWIDth?        UWID?      :TRIGger:PULSe:UWIDth?
0275 - LWIDth         LWID       :TRIGger:PULSe:LWIDth
0276 - LWIDth?        LWID?      :TRIGger:PULSe:LWIDth?
0277 - LINE           LINE       :TRIGger:VIDeo:LINE
0278 - LINE?          LINE?      :TRIGger:VIDeo:LINE?
0279 - MODE           MODE       :TRIGger:VIDeo:MODE
027A - MODE?          MODE?      :TRIGger:VIDeo:MODE?
027B - POLarity       POL        :TRIGger:VIDeo:POLarity
027C - POLarity?      POL?       :TRIGger:VIDeo:POLarity?
027D - SOURce         SOUR       :TRIGger:VIDeo:SOURce
027E - SOURce?        SOUR?      :TRIGger:VIDeo:SOURce?
027F - STANdard       STAN       :TRIGger:VIDeo:STANdard
0280 - STANdard?      STAN?      :TRIGger:VIDeo:STANdard?
0281 - LEVel          LEV        :TRIGger:VIDeo:LEVel
0282 - LEVel?         LEV?       :TRIGger:VIDeo:LEVel?
0283 - PATTern        PATT       :TRIGger:PATTern:PATTern
0284 - PATTern?       PATT?      :TRIGger:PATTern:PATTern?
0285 - LEVel          LEV        :TRIGger:PATTern:LEVel
0286 - LEVel?         LEV?       :TRIGger:PATTern:LEVel?
0287 - SOURce         SOUR       :TRIGger:DURATion:SOURce
0288 - SOURce?        SOUR?      :TRIGger:DURATion:SOURce?
0289 - TYPe           TYP        :TRIGger:DURATion:TYPe
028A - TYPe?          TYP?       :TRIGger:DURATion:TYPe?
028B - WHEN           WHEN       :TRIGger:DURATion:WHEN
028C - WHEN?          WHEN?      :TRIGger:DURATion:WHEN?
028D - TUPPer         TUPP       :TRIGger:DURATion:TUPPer
028E - TUPPer?        TUPP?      :TRIGger:DURATion:TUPPer?
028F - TLOWer         TLOW       :TRIGger:DURATion:TLOWer
0290 - TLOWer?        TLOW?      :TRIGger:DURATion:TLOWer?
0291 - SOURce         SOUR       :TRIGger:TIMeout:SOURce
0292 - SOURce?        SOUR?      :TRIGger:TIMeout:SOURce?
0293 - SLOPe          SLOP       :TRIGger:TIMeout:SLOPe
0294 - SLOPe?         SLOP?      :TRIGger:TIMeout:SLOPe?
0295 - TIMe           TIM        :TRIGger:TIMeout:TIMe
0296 - TIMe?          TIM?       :TRIGger:TIMeout:TIMe?
0297 - SOURce         SOUR       :TRIGger:RUNT:SOURce
0298 - SOURce?        SOUR?      :TRIGger:RUNT:SOURce?
0299 - POLarity       POL        :TRIGger:RUNT:POLarity
029A - POLarity?      POL?       :TRIGger:RUNT:POLarity?
029B - WHEN           WHEN       :TRIGger:RUNT:WHEN
029C - WHEN?          WHEN?      :TRIGger:RUNT:WHEN?
029D - WUPPer         WUPP       :TRIGger:RUNT:WUPPer
029E - WUPPer?        WUPP?      :TRIGger:RUNT:WUPPer?
029F - WLOWer         WLOW       :TRIGger:RUNT:WLOWer
02A0 - WLOWer?        WLOW?      :TRIGger:RUNT:WLOWer?
02A1 - ALEVel         ALEV       :TRIGger:RUNT:ALEVel
02A2 - ALEVel?        ALEV?      :TRIGger:RUNT:ALEVel?
02A3 - BLEVel         BLEV       :TRIGger:RUNT:BLEVel
02A4 - BLEVel?        BLEV?      :TRIGger:RUNT:BLEVel?
02A5 - SOURce         SOUR       :TRIGger:WINDows:SOURce
02A6 - SOURce?        SOUR?      :TRIGger:WINDows:SOURce?
02A7 - SLOPe          SLOP       :TRIGger:WINDows:SLOPe
02A8 - SLOPe?         SLOP?      :TRIGger:WINDows:SLOPe?
02A9 - POSition       POS        :TRIGger:WINDows:POSition
02AA - POSition?      POS?       :TRIGger:WINDows:POSition?
02AB - TIMe           TIM        :TRIGger:WINDows:TIMe
02AC - TIMe?          TIM?       :TRIGger:WINDows:TIMe?
02AD - ALEVel         ALEV       :TRIGger:WINDows:ALEVel
02AE - ALEVel?        ALEV?      :TRIGger:WINDows:ALEVel?
02AF - BLEVel         BLEV       :TRIGger:WINDows:BLEVel
02B0 - BLEVel?        BLEV?      :TRIGger:WINDows:BLEVel?
02B1 - SA             SA         :TRIGger:DELay:SA
02B2 - SA?            SA?        :TRIGger:DELay:SA?
02B3 - SLOPA          SLOPA      :TRIGger:DELay:SLOPA
02B4 - SLOPA?         SLOPA?     :TRIGger:DELay:SLOPA?
02B5 - SB             SB         :TRIGger:DELay:SB
02B6 - SB?            SB?        :TRIGger:DELay:SB?
02B7 - SLOPB          SLOPB      :TRIGger:DELay:SLOPB
02B8 - SLOPB?         SLOPB?     :TRIGger:DELay:SLOPB?
02B9 - TYPe           TYP        :TRIGger:DELay:TYPe
02BA - TYPe?          TYP?       :TRIGger:DELay:TYPe?
02BB - TUPPer         TUPP       :TRIGger:DELay:TUPPer
02BC - TUPPer?        TUPP?      :TRIGger:DELay:TUPPer?
02BD - TLOWer         TLOW       :TRIGger:DELay:TLOWer
02BE - TLOWer?        TLOW?      :TRIGger:DELay:TLOWer?
02BF - DSrc           DS         :TRIGger:SHOLd:DSrc
02C0 - DSrc?          DS?        :TRIGger:SHOLd:DSrc?
02C1 - CSrc           CS         :TRIGger:SHOLd:CSrc
02C2 - CSrc?          CS?        :TRIGger:SHOLd:CSrc?
02C3 - SLOPe          SLOP       :TRIGger:SHOLd:SLOPe
02C4 - SLOPe?         SLOP?      :TRIGger:SHOLd:SLOPe?
02C5 - PATTern        PATT       :TRIGger:SHOLd:PATTern
02C6 - PATTern?       PATT?      :TRIGger:SHOLd:PATTern?
02C7 - TYPe           TYP        :TRIGger:SHOLd:TYPe
02C8 - TYPe?          TYP?       :TRIGger:SHOLd:TYPe?
02C9 - STIMe          STIM       :TRIGger:SHOLd:STIMe
02CA - STIMe?         STIM?      :TRIGger:SHOLd:STIMe?
02CB - HTIMe          HTIM       :TRIGger:SHOLd:HTIMe
02CC - HTIMe?         HTIM?      :TRIGger:SHOLd:HTIMe?
02CD - SOURce         SOUR       :TRIGger:NEDGe:SOURce
02CE - SOURce?        SOUR?      :TRIGger:NEDGe:SOURce?
02CF - SLOPe          SLOP       :TRIGger:NEDGe:SLOPe
02D0 - SLOPe?         SLOP?      :TRIGger:NEDGe:SLOPe?
02D1 - IDLE           IDLE       :TRIGger:NEDGe:IDLE
02D2 - IDLE?          IDLE?      :TRIGger:NEDGe:IDLE?
02D3 - EDGE           EDGE       :TRIGger:NEDGe:EDGE
02D4 - EDGE?          EDGE?      :TRIGger:NEDGe:EDGE?
02D5 - LEVel          LEV        :TRIGger:NEDGe:LEVel
02D6 - LEVel?         LEV?       :TRIGger:NEDGe:LEVel?
02D7 - SOURce         SOUR       :TRIGger:RS232:SOURce
02D8 - SOURce?        SOUR?      :TRIGger:RS232:SOURce?
02D9 - WHEN           WHEN       :TRIGger:RS232:WHEN
02DA - WHEN?          WHEN?      :TRIGger:RS232:WHEN?
02DB - PARity         PAR        :TRIGger:RS232:PARity
02DC - PARity?        PAR?       :TRIGger:RS232:PARity?
02DD - STOP           STOP       :TRIGger:RS232:STOP
02DE - STOP?          STOP?      :TRIGger:RS232:STOP?
02DF - DATA           DATA       :TRIGger:RS232:DATA
02E0 - DATA?          DATA?      :TRIGger:RS232:DATA?
02E1 - WIDTh          WIDT       :TRIGger:RS232:WIDTh
02E2 - WIDTh?         WIDT?      :TRIGger:RS232:WIDTh?
02E3 - BAUD           BAUD       :TRIGger:RS232:BAUD
02E4 - BAUD?          BAUD?      :TRIGger:RS232:BAUD?
02E5 - BUSer          BUS        :TRIGger:RS232:BUSer
02E6 - BUSer?         BUS?       :TRIGger:RS232:BUSer?
02E7 - LEVel          LEV        :TRIGger:RS232:LEVel
02E8 - LEVel?         LEV?       :TRIGger:RS232:LEVel?
02E9 - SCL            SCL        :TRIGger:IIC:SCL
02EA - SCL?           SCL?       :TRIGger:IIC:SCL?
02EB - SDA            SDA        :TRIGger:IIC:SDA
02EC - SDA?           SDA?       :TRIGger:IIC:SDA?
02ED - WHEN           WHEN       :TRIGger:IIC:WHEN
02EE - WHEN?          WHEN?      :TRIGger:IIC:WHEN?
02EF - AWIDth         AWID       :TRIGger:IIC:AWIDth
02F0 - AWIDth?        AWID?      :TRIGger:IIC:AWIDth?
02F1 - ADDRess        ADDR       :TRIGger:IIC:ADDRess
02F2 - ADDRess?       ADDR?      :TRIGger:IIC:ADDRess?
02F3 - DIRection      DIR        :TRIGger:IIC:DIRection
02F4 - DIRection?     DIR?       :TRIGger:IIC:DIRection?
02F5 - DATA           DATA       :TRIGger:IIC:DATA
02F6 - DATA?          DATA?      :TRIGger:IIC:DATA?
02F7 - CLEVel         CLEV       :TRIGger:IIC:CLEVel
02F8 - CLEVel?        CLEV?      :TRIGger:IIC:CLEVel?
02F9 - DLEVel         DLEV       :TRIGger:IIC:DLEVel
02FA - DLEVel?        DLEV?      :TRIGger:IIC:DLEVel?
02FB - SCL            SCL        :TRIGger:SPI:SCL
02FC - SCL?           SCL?       :TRIGger:SPI:SCL?
02FD - SDA            SDA        :TRIGger:SPI:SDA
02FE - SDA?           SDA?       :TRIGger:SPI:SDA?
02FF - WIDTh          WIDT       :TRIGger:SPI:WIDTh
0300 - WIDTh?         WIDT?      :TRIGger:SPI:WIDTh?
0301 - DATA           DATA       :TRIGger:SPI:DATA
0302 - DATA?          DATA?      :TRIGger:SPI:DATA?
0303 - TIMeout        TIM        :TRIGger:SPI:TIMeout
0304 - TIMeout?       TIM?       :TRIGger:SPI:TIMeout?
0305 - SLOPe          SLOP       :TRIGger:SPI:SLOPe
0306 - SLOPe?         SLOP?      :TRIGger:SPI:SLOPe?
0307 - CLEVel         CLEV       :TRIGger:SPI:CLEVel
0308 - CLEVel?        CLEV?      :TRIGger:SPI:CLEVel?
0309 - DLEVel         DLEV       :TRIGger:SPI:DLEVel
030A - DLEVel?        DLEV?      :TRIGger:SPI:DLEVel?
030B - SLEVel         SLEV       :TRIGger:SPI:SLEVel
030C - SLEVel?        SLEV?      :TRIGger:SPI:SLEVel?
030D - MODE           MODE       :TRIGger:SPI:MODE
030E - MODE?          MODE?      :TRIGger:SPI:MODE?
030F - WHEN           WHEN       :TRIGger:SPI:WHEN
0310 - WHEN?          WHEN?      :TRIGger:SPI:WHEN?
0311 - CS             CS         :TRIGger:SPI:CS
0312 - CS?            CS?        :TRIGger:SPI:CS?
0313 - POSition?      POS?       :TRIGger:POSition?
0314 - CONFigure      CONF       :VENDor:CONFigure
0315 - CONFigure?     CONF?      :VENDor:CONFigure?
0316 - BW             BW         :SYSTem:BW
0317 - BW?            BW?        :SYSTem:BW?
0318 - PRESs          PRES       :SYSTem:PRESs
0319 - INSTall        INST       :SYSTem:OPTion:INSTall
031A - UNINstall      UNIN       :SYSTem:OPTion:UNINstall
031B - AUToscale      AUT        :SYSTem:AUToscale
031C - NEXT?          NEXT?      :SYSTem:ERRor[:NEXT]?
031D - AUToscale?     AUT?       :SYSTem:AUToscale?
031E - BEEPer         BEEP       :SYSTem:BEEPer
031F - BEEPer?        BEEP?      :SYSTem:BEEPer?
0320 - LANGuage       LANG       :SYSTem:LANGuage
0321 - LANGuage?      LANG?      :SYSTem:LANGuage?
0322 - PON            PON        :SYSTem:PON
0323 - PON?           PON?       :SYSTem:PON?
0324 - GPIB           GPIB       :SYSTem:GPIB
0325 - GPIB?          GPIB?      :SYSTem:GPIB?
0326 - UDEVice        UDEV       :SYSTem:UDEVice
0327 - UDEVice?       UDEV?      :SYSTem:UDEVice?
0328 - LOCKed         LOCK       :SYSTem:LOCKed
0329 - LOCKed?        LOCK?      :SYSTem:LOCKed?
032A - WRITe          WRIT       :SYSTem:FLASh:WRITe
032B - PRESs          PRES       :SYSTem:KEY:PRESs
032C - INCRease       INCR       :SYSTem:KEY:INCRease
032D - DECRease       DECR       :SYSTem:KEY:DECRease
032E - FORMat         FORM       :SYSTem:FORMat
032F - INFOrmation?   INFO?      :SYSTem:INFOrmation?
0330 - MEASINF?       MEASINF?   :SYSTem:MEASINF?
0331 - UNLOCKed       UNLOCK     :UNLOCKed
0332 - DATA?          DATA?      :DISPlay:DATA?
0333 - SNAP?          SNAP?      :DISPlay:SNAP?
0334 - PASSword       PASS       :LAN:PASSword
0335 - PASSword?      PASS?      :LAN:PASSword?
0336 - DHCP           DHCP       :LAN:DHCP
0337 - DHCP?          DHCP?      :LAN:DHCP?
0338 - AUTOip         AUTO       :LAN:AUTOip
0339 - AUTOip?        AUTO?      :LAN:AUTOip?
033A - MANual         MAN        :LAN:MANual
033B - MANual?        MAN?       :LAN:MANual?
033C - GATeway        GAT        :LAN:GATeway
033D - GATeway?       GAT?       :LAN:GATeway?
033E - DNS            DNS        :LAN:DNS
033F - DNS?           DNS?       :LAN:DNS?
0340 - MAC?           MAC?       :LAN:MAC?
0341 - IPADdress      IPAD       :LAN:IPADdress
0342 - IPADdress?     IPAD?      :LAN:IPADdress?
0343 - SMASk          SMAS       :LAN:SMASk
0344 - SMASk?         SMAS?      :LAN:SMASk?
0345 - STATus?        STAT?      :LAN:STATus?
0346 - VISA?          VISA?      :LAN:VISA?
0347 - INITiate       INIT       :LAN:INITiate
0348 - APPLy          APPL       :LAN:APPLy
0349 - SAVNew         SAVN       :SYSTem:SAVNew
034A - MODules?       MOD?       :SYSTem:MODules?
034B - RAM?           RAM?       :SYSTem:RAM?
034C - GAM?           GAM?       :SYSTem:GAM?
034D - SETup          SET        :SYSTem:SETup
034E - SETup?         SET?       :SYSTem:SETup?
034F - MENU?          MENU?      :DISPlay:MENU?
0350 - LENgth?        LEN?       :DISPlay:LENgth?
0351 - PROGress?      PROG?      :TEST:PROGress?
0352 - LOWer?         LOW?       :TEST:LOWer?
0353 - UPPer?         UPP?       :TEST:UPPer?
0354 - MODE           MODE       :TEST:MODE
0355 - MODE?          MODE?      :TEST:MODE?
0356 - OPERate        OPER       :TEST:OPERate
0357 - OPERate?       OPER?      :TEST:OPERate?
0358 - ERRor?         ERR?       :TEST:ERRor?
0359 - INVERT         INVERT     :STORage:IMAGe:INVERT
035A - INVERT?        INVERT?    :STORage:IMAGe:INVERT?
035B - COLor          COL        :STORage:IMAGe:COLor
035C - COLor?         COL?       :STORage:IMAGe:COLor?
035D - TYPE           TYPE       :STORage:IMAGe:TYPE
035E - TYPE?          TYPE?      :STORage:IMAGe:TYPE?
035F - DISPlay        DISP       :REFerence:DISPlay
0360 - DISPlay?       DISP?      :REFerence:DISPlay?
0361 - CURRent?       CURR?      :REFerence:CURRent?
0362 - ENABle         ENAB       :REFerence<n>:ENABle
0363 - ENABle?        ENAB?      :REFerence<n>:ENABle?
0364 - SOURce         SOUR       :REFerence<n>:SOURce
0365 - SOURce?        SOUR?      :REFerence<n>:SOURce?
0366 - VSCale         VSC        :REFerence<n>:VSCale
0367 - VSCale?        VSC?       :REFerence<n>:VSCale?
0368 - VOFFset        VOFF       :REFerence<n>:VOFFset
0369 - VOFFset?       VOFF?      :REFerence<n>:VOFFset?
036A - RESet          RES        :REFerence<n>:RESet
036B - CURRent        CURR       :REFerence<n>:CURRent
036C - SAVe           SAV        :REFerence<n>:SAVe
036D - COLor          COL        :REFerence<n>:COLor
036E - COLor?         COL?       :REFerence<n>:COLor?
036F - STARt          STAR       :CALibrate:STARt
0370 - QUIT           QUIT       :CALibrate:QUIT
0371 - OUTput?        OUT?       :CALibrate:OUTput?
0372 - LFSTARt        LFSTAR     :CALibrate:LFSTARt
0373 - STATe          STAT       [:SOURce<n>]:OUTPut<n>[:STATe]
0374 - STATe?         STAT?      [:SOURce<n>]:OUTPut<n>[:STATe]?
0375 - IMPedance      IMP        [:SOURce<n>]:OUTPut<n>:IMPedance
0376 - IMPedance?     IMP?       [:SOURce<n>]:OUTPut<n>:IMPedance?
0377 - FIXed          FIX        [:SOURce<n>]:FREQuency[:FIXed]
0378 - FIXed?         FIX?       [:SOURce<n>]:FREQuency[:FIXed]?
0379 - ADJust         ADJ        [:SOURce<n>]:PHASe[:ADJust]
037A - ADJust?        ADJ?       [:SOURce<n>]:PHASe[:ADJust]?
037B - INITiate       INIT       [:SOURce<n>]:PHASe:INITiate
037C - SHAPe          SHAP       [:SOURce<n>]:FUNCtion[:SHAPe]
037D - SHAPe?         SHAP?      [:SOURce<n>]:FUNCtion[:SHAPe]?
037E - SYMMetry       SYMM       [:SOURce<n>]:FUNCtion:RAMP:SYMMetry
037F - SYMMetry?      SYMM?      [:SOURce<n>]:FUNCtion:RAMP:SYMMetry?
0380 - AMPLitude      AMPL       [:SOURce<n>]:VOLTage[:LEVel][:IMMediate][:AMPLitude]
0381 - AMPLitude?     AMPL?      [:SOURce<n>]:VOLTage[:LEVel][:IMMediate][:AMPLitude]?
0382 - OFFSet         OFFS       [:SOURce<n>]:VOLTage[:LEVel][:IMMediate]:OFFSet
0383 - OFFSet?        OFFS?      [:SOURce<n>]:VOLTage[:LEVel][:IMMediate]:OFFSet?
0384 - DCYCle         DCYC       [:SOURce<n>]:PULSe:DCYCle
0385 - DCYCle?        DCYC?      [:SOURce<n>]:PULSe:DCYCle?
0386 - STATe          STAT       [:SOURce<n>]:MOD[:STATe]
0387 - STATe?         STAT?      [:SOURce<n>]:MOD[:STATe]?
0388 - TYPe           TYP        [:SOURce<n>]:MOD:TYPe
0389 - TYPe?          TYP?       [:SOURce<n>]:MOD:TYPe?
038A - DEPTh          DEPT       [:SOURce<n>]:MOD:AM[:DEPTh]
038B - DEPTh?         DEPT?      [:SOURce<n>]:MOD:AM[:DEPTh]?
038C - FREQuency      FREQ       [:SOURce<n>]:MOD:AM:INTernal:FREQuency
038D - FREQuency?     FREQ?      [:SOURce<n>]:MOD:AM:INTernal:FREQuency?
038E - FUNCtion       FUNC       [:SOURce<n>]:MOD:AM:INTernal:FUNCtion
038F - FUNCtion?      FUNC?      [:SOURce<n>]:MOD:AM:INTernal:FUNCtion?
0390 - DEVIation      DEVI       [:SOURce<n>]:MOD:FM[:DEVIation]
0391 - DEVIation?     DEVI?      [:SOURce<n>]:MOD:FM[:DEVIation]?
0392 - FREQuency      FREQ       [:SOURce<n>]:MOD:FM:INTernal:FREQuency
0393 - FREQuency?     FREQ?      [:SOURce<n>]:MOD:FM:INTernal:FREQuency?
0394 - FUNCtion       FUNC       [:SOURce<n>]:MOD:FM:INTernal:FUNCtion
0395 - FUNCtion?      FUNC?      [:SOURce<n>]:MOD:FM:INTernal:FUNCtion?
0396 - NOISe          NOIS       [:SOURce<n>]:APPLy:NOISe
0397 - PULSe          PULS       [:SOURce<n>]:APPLy:PULSe
0398 - RAMP           RAMP       [:SOURce<n>]:APPLy:RAMP
0399 - SINusoid       SIN        [:SOURce<n>]:APPLy:SINusoid
039A - SQUare         SQU        [:SOURce<n>]:APPLy:SQUare
039B - USER           USER       [:SOURce<n>]:APPLy:USER
039C - APPLy?         APPL?      [:SOURce<n>]:APPLy?
039D - DC             DC         [:SOURce<n>]:CAL:DC
039E - DC?            DC?        [:SOURce<n>]:CAL:DC?
039F - OFFSet         OFFS       [:SOURce<n>]:CAL:OFFSet
03A0 - OFFSet?        OFFS?      [:SOURce<n>]:CAL:OFFSet?
03A1 - AMP            AMP        [:SOURce<n>]:CAL:AMP
03A2 - AMP?           AMP?       [:SOURce<n>]:CAL:AMP?
03A3 - DEFault        DEF        [:SOURce<n>]:CAL:DEFault
03A4 - SVCTxo         SVCT       [:SOURce<n>]:CAL:SVCTxo
03A5 - VCTXo          VCTX       [:SOURce<n>]:CAL:VCTXo
03A6 - VCTXo?         VCTX?      [:SOURce<n>]:CAL:VCTXo?
03A7 - PHASe          PHAS       [:SOURce<n>]:CAL:PHASe
03A8 - PHASe?         PHAS?      [:SOURce<n>]:CAL:PHASe?
